arch,baseline_benchmark_time_ms,benchmark_device_id,benchmark_flags,benchmark_optimal_start_order,benchmark_optimal_time_ms,benchmark_order_in_list,benchmark_result_order,benchmark_speedup,benchmark_start_order_vs_result,benchmark_status,benchmark_time_ms,candidate_id,compile_flags,compile_order_in_list,compile_status,device,dispatch_id,notes,rocm_version,to_benchmark,tuner_commit
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,20,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",20,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,15,117,2.35743,102,True,1956.67,21,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",21,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,8,32,0.89518,24,True,743.0,22,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",22,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,23,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",23,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,24,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",24,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,25,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",25,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,26,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",26,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,27,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",27,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,28,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",28,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,29,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",29,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,30,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",30,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,31,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",31,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,32,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",32,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,6,90,1.49799,84,True,1243.33,33,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",33,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,10,104,1.83534,94,True,1523.33,34,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",34,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,35,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",35,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,36,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",36,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,19,120,2.98795,101,True,2480.0,37,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",37,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,38,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",38,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,39,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",39,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,13,66,1.21285,53,True,1006.67,40,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",40,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,41,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",41,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,27,123,3.53414,96,True,2933.33,42,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",42,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,43,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",43,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,16,126,4.3494,110,True,3610.0,44,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",44,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,45,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",45,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,28,135,7.16867,107,True,5950.0,46,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",46,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,41,151,18.07229,110,True,15000.0,47,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",47,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,48,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",48,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,49,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",49,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,50,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",50,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,45,146,15.54217,101,True,12900.0,51,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",51,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,52,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",52,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,60,134,7.05622,74,True,5856.67,53,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",53,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,54,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",54,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,4,81,1.36546,77,True,1133.33,55,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",55,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,3,72,1.28916,69,True,1070.0,56,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",56,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,2,42,0.98313,40,True,816.0,57,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",57,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,1,60,1.17028,59,True,971.33,58,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",58,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,59,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",59,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
gfx942,830.0,hip://0,"['--input=1', '--benchmark_repetitions=3']",129,521.33,114,168,32.6506,54,True,27100.0,60,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",60,True,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,True,
gfx942,,,"['--input=1', '--benchmark_repetitions=3']",,,,,,,False,,61,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",61,False,sharkmi300x-4::['hip://0'],compute_gemm_4096_4096_8192_f16_f32_tA,,,False,
