dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map
square_gemm_2048_2048_2048_f16_f32_tB,661,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,256.0,32.0,64.0,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",661,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,90.0,125.33,82.67,1.39259,354.0,194.0,160.0,588.0,266.62,,tuning_2025_09_23_20_52/candidates/specs/661_spec.mlir,512.0,4.0,0.1578947368421053,16384.0,2048.0,256.0,0.5625,0.002594017416961798,3
square_gemm_2048_2048_2048_f16_f32_tB,662,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,32.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F16>,256.0,32.0,64.0,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",662,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_20_52/candidates/specs/662_spec.mlir,512.0,4.0,0.1578947368421053,16384.0,2048.0,256.0,0.5625,1.0,2
square_gemm_2048_2048_2048_f16_f32_tB,663,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,256.0,32.0,64.0,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",663,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_20_52/candidates/specs/663_spec.mlir,512.0,1.0,0.1578947368421053,16384.0,2048.0,64.0,0.5625,1.0,1
square_gemm_2048_2048_2048_f16_f32_tB,664,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,256.0,32.0,64.0,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",664,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,90.0,221.0,82.67,2.45556,375.0,551.0,176.0,588.0,266.62,,tuning_2025_09_23_20_52/candidates/specs/664_spec.mlir,512.0,1.0,0.1578947368421053,16384.0,2048.0,64.0,0.5625,0.008410379333362084,0
square_gemm_2048_2048_2048_f16_f32_tB,665,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,256.0,32.0,64.0,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",665,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_20_52/candidates/specs/665_spec.mlir,512.0,2.0,0.1578947368421053,16384.0,2048.0,128.0,0.5625,1.0,1
square_gemm_2048_2048_2048_f16_f32_tB,666,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,256.0,32.0,16.0,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",666,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,89.83,220.0,82.67,2.44898,362.0,550.0,188.0,588.0,266.62,,tuning_2025_09_23_20_52/candidates/specs/666_spec.mlir,512.0,1.0,0.1578947368421053,4096.0,512.0,64.0,0.140625,0.008374374872831762,0
square_gemm_2048_2048_2048_f16_f32_tB,667,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,256.0,32.0,64.0,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",667,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,90.0,154.0,82.67,1.71111,361.0,362.0,1.0,588.0,266.62,,tuning_2025_09_23_20_52/candidates/specs/667_spec.mlir,512.0,2.0,0.1578947368421053,16384.0,2048.0,128.0,0.5625,0.004336895953149854,0
square_gemm_2048_2048_2048_f16_f32_tB,668,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,256.0,32.0,16.0,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",668,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,89.83,251.33,82.67,2.79777,357.0,584.0,227.0,588.0,266.62,,tuning_2025_09_23_20_52/candidates/specs/668_spec.mlir,512.0,4.0,0.1578947368421053,4096.0,512.0,256.0,0.140625,0.010282884871064314,0
square_gemm_2048_2048_2048_f16_f32_tB,669,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,256.0,32.0,64.0,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",669,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_20_52/candidates/specs/669_spec.mlir,512.0,4.0,0.1578947368421053,16384.0,2048.0,256.0,0.5625,1.0,1
square_gemm_2048_2048_2048_f16_f32_tB,670,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,256.0,32.0,64.0,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",670,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,90.0,127.67,82.67,1.41852,360.0,213.0,147.0,588.0,266.62,,tuning_2025_09_23_20_52/candidates/specs/670_spec.mlir,512.0,4.0,0.1578947368421053,16384.0,2048.0,256.0,0.5625,0.002735901256103316,0
square_gemm_2048_2048_2048_f16_f32_tB,671,contraction,sharkmi300x-4,gfx942,2048.0,2048.0,2048.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,256.0,256.0,64.0,64.0,8.0,1.0,8.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",671,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_20_52/candidates/specs/671_spec.mlir,64.0,8.0,0.7894736842105263,16384.0,16384.0,512.0,1.0,1.0,1
